Nama_Produk,Warna,Harga,Diskon,Pembeli
ASUS A407MA-BV001T 14" HD,Star Grey,4149000,5,52
ASUS X441MA-GA011T 14" HD,Black,4246000,5,96
ASUS A442UR-GA041T 14",Dark Grey,7999000,6,285
ASUS X441MA-GA012T 14" HD,Silver,4246000,5,84
ASUS A407MA-BV002T 14" HD,Gold,4149000,5,35
ASUS X441MA-GA014T 14" HD,White,4246000,5,66
ASUS X441UA-GA314T 14" HD,White,6079000,5,15
ASUS A407UA-BV319T 14" HD,Star Gray,5983000,5,27
ASUS X441UA-GA311T 14" HD,Black,6079000,5,25
ASUS A442UR-GA042T 14",Gold,7799000,9,133
ASUS X441MA-GA013T 14" HD,Red,4246000,5,41
ASUS A407UA-BV320T 14",Icicle Gold,5983000,5,19
ASUS A442UR-GA043T 14",Red,8209000,4,90
ASUS A407UF-BV061T 14" HD,Star Grey,6755000,4,3
ASUS A407UF-BV512T 14" HD,Icicle Gold,8299000,4,2
ASUS A407UF-BV062T 14" HD,Icicle Gold,6755000,4,4
ASUS X441UA-GA313T 14" HD,Red,6079000,5,9
ASUS A407UF-BV511T 14" HD,Star Grey,8299000,4,1
ASUS FX504GD-E4309T 15.6" FHD,Gun Metal,13847000,9,2
ASUS TP203NAH-BP001T 11.6" Touch,Star Gray,5175000,5,12
ASUS X505ZA-BR701T 15.6" HD,Dark Grey,10615000,6,1
ASUS X441UB-GA311T 14" HD,Black,6658000,4,
ASUS A407MA-BV401T 14" HD,Grey,4246000,5,2
ASUS A407UF-BV073T 14" HD,Star Grey,7044000,4,1
ASUS P4410JF-WO039G 14",Black,9775000,7,
ASUS X441UA-GA312T 14" HD,Silver Gradient,6079000,5,3
ASUS P2430UA-WO1113T 14",Black,6999000,9,1
ASUS A407MA-BV402T 14" HD,Icicle Gold,4246000,5,
ASUS X441UB-GA312T 14" HD,Silver,6658000,4,
ASUS B451JA-WO094G 14",Black,14699000,8,
ASUS E402WA-GA001T 14",Dark Blue,3667000,5,160
ASUS X441UB-GA042T 14",Black,6199000,7,42
ASUS A442UR-GA044T 14",White,7799000,9,97
ASUS X441UB-GA045T 14",White,6199000,7,7
ASUS A407UF-BV502T 14" HD,Icicle Gold,8588000,4,
ASUS X541NA-BX402T 15.6" HD,Silver,3525000,10,58
ASUS X550VQ-XX016D 15.6",Red,8499000,4,2
